"","labID","depth","age","error","curve","thickness","ageid"
"1","coretop",0,-70,15,"normal",1,1
"2","269600",99,1285,15,"intcal20",1,2
"3","269601",199,3220,15,"intcal20",1,3
"4","269602",299,5165,15,"intcal20",1,4
"5","269603",399,9335,20,"intcal20",1,5
"6","240799",418,10255,25,"intcal20",1,6
"7","LOI 1",469,12894,118,"normal",1,7
"8","LOI 2",510,13952,114,"normal",1,8
"9","LOI 3",525,14480,390,"normal",1,9
"10","LOI 4",535,14974,308,"normal",1,10
"11","LOI 5",551,15150,149,"normal",1,11
"12","LOI 6",559,15599,379,"normal",1,12
"13","LOI 7",567,15850,392,"normal",1,13
"14","LOI 8",587,16010,361,"normal",1,14
"15","240783",639,14280,30,"intcal20",1,15
"16","LOI 9",643,17230,471,"normal",1,16
"17","LOI 10",679,17953,614,"normal",1,17
"18","LOI 11",715,18859,113,"normal",1,18
"19","LOI 12",771,21629,485,"normal",1,19
"20","LOI 13",799,22153,285,"normal",1,20
"21","240784",822,19830,70,"intcal20",1,21
"22","LOI 14",843,24729,730,"normal",1,22
"23","LOI 15",931,27359,264,"normal",1,23
"24","LOI 16",939,27465,327,"normal",1,24
"25","240785",1042,28790,170,"intcal20",1,25
"26","TP4_midpoint",1169,39250,50,"normal",1,26
"27","240800",1218,29900,180,"intcal20",1,27
"28","240801",1418,46000,1300,"intcal20",1,28
"29","TP6end_low",1565,59700,50,"normal",1,29
